STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/13/2014,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/14/2014,,65,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/15/2014,,64,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/16/2014,,68,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/17/2014,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/18/2014,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/19/2014,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/20/2014,,75,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/21/2014,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/22/2014,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/23/2014,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/24/2014,,61,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/25/2014,,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/26/2014,,58,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/27/2014,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/28/2014,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/29/2014,,81,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",4/30/2014,,90,60
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/1/2014,,84,62
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/2/2014,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/3/2014,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/4/2014,,65,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/5/2014,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/6/2014,,66,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/7/2014,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/8/2014,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/9/2014,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/10/2014,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/11/2014,,73,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/12/2014,,81,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/13/2014,,90,59
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/14/2014,,88,64
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/15/2014,,75,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/16/2014,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/17/2014,,61,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/18/2014,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/19/2014,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/20/2014,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/21/2014,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/22/2014,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/23/2014,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/24/2014,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/25/2014,,70,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/26/2014,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/27/2014,,65,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/28/2014,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/29/2014,,72,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/30/2014,,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",5/31/2014,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/1/2014,,64,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/2/2014,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/3/2014,,63,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/4/2014,,67,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/5/2014,,62,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/6/2014,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/7/2014,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/8/2014,,78,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/9/2014,,69,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/10/2014,,64,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/11/2014,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/12/2014,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/13/2014,,70,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/14/2014,,75,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/15/2014,,64,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/16/2014,,60,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/17/2014,,67,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/18/2014,,78,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/19/2014,,65,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/20/2014,,71,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/21/2014,,60,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/22/2014,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/23/2014,,67,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/24/2014,,66,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/25/2014,,62,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/26/2014,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/27/2014,,67,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/28/2014,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/29/2014,,73,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",6/30/2014,,73,56
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/1/2014,,65,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",7/2/2014,,65,54
